dataset,party,year,prefecture,municipality,seat_count,municipality_count,total_compensation,annual_compensation
summary,日本共産党,,,,2166,90,25852721952.0,
summary,無所属,,,,6705,95,79155057672.0,
summary,公明党,,,,3239,86,38903660504.0,
summary,新社会党,,,,30,9,361949390.0,
summary,自由民主党,,,,4276,85,51038179860.0,
summary,民主党,,,,997,89,11999278968.0,
summary,社会民主党,,,,407,60,4741690178.0,
summary,市民ネットワーク・かしわ,,,,5,1,60296500.0,
summary,国民会議,,,,2,2,23276800.0,
summary,越谷市民ネットワーク,,,,13,1,156227500.0,
summary,青年自由,,,,1,1,11544070.0,
summary,世田谷・生活者ネットワーク,,,,24,1,289317600.0,
summary,世田谷行革110番,,,,6,1,72329400.0,
summary,自由党,,,,24,15,290222882.0,
summary,八王子・生活者ネットワーク,,,,13,1,168116000.0,
summary,品川・生活者ネットワーク,,,,11,1,127053960.0,
summary,大田・生活者ネットワーク,,,,8,1,97838304.0,
summary,緑の党,,,,7,2,84958728.0,
summary,板橋・生活者ネットワーク,,,,5,1,57900000.0,
summary,江戸川・生活者ネットワーク,,,,13,1,150157800.0,
summary,目黒・生活者ネットワーク,,,,6,1,67567200.0,
summary,吉田区政を守る無党派の会,,,,1,1,11946700.0,
summary,足立・生活者ネットワーク,,,,1,1,11946700.0,
summary,神奈川ネットワーク運動,,,,7,2,85472400.0,
summary,市民ネットワークちば,,,,2,1,32185999.999999996,
summary,福祉かつしかネットワーク,,,,3,1,35976480.0,
summary,沖縄社会大衆党,,,,14,1,150953600.0,
summary,市民ネットワーク,,,,3,2,36930300.0,
summary,公民,,,,9,1,119443500.0,
summary,反政党・改革派,,,,1,1,12054900.0,
summary,保守新党,,,,2,2,23911800.0,
summary,杉並・生活者ネットワーク,,,,15,1,174935670.0,
summary,都政を革新する会,,,,5,1,58311890.0,
summary,江東・生活者ネットワーク,,,,5,1,59841000.0,
summary,純粋無所属全国ネット,,,,1,1,11261200.0,
summary,元気クラブ,,,,1,1,12180600.0,
summary,豊島・生活者ネットワーク,,,,5,1,59607900.0,
summary,豊島行革１１０番,,,,2,1,23843160.0,
summary,プロジェク：くまもと再生,,,,3,1,37887750.0,
summary,市民ネットワーク千葉県,,,,1,1,12059300.0,
summary,市民ネットワーク・ふなばし,,,,4,1,51246800.0,
summary,高槻ご意見番,,,,5,1,68640000.0,
summary,せたがや政策会議,,,,2,1,24109800.0,
summary,無党派市民,,,,2,1,24109800.0,
summary,中野・生活者ネットワーク,,,,4,1,45706400.0,
summary,国民新党,,,,3,3,33948470.0,
summary,生活者ネットワーク,,,,1,1,12229788.0,
summary,オンブズマンみなと,,,,2,1,24219180.0,
summary,オンブズマン練馬,,,,4,1,46248000.0,
summary,社会民主,,,,1,1,11562000.0,
summary,練馬・生活者ネットワーク,,,,14,1,161868000.0,
summary,みんなの党,,,,85,39,1026100892.0,
summary,政党そうぞう,,,,4,1,43129600.0,
