政党,年,都道府県,市区町村,座席数,期間総額（1人）,月額,推計総額,在任月数,期末手当回数（3月）,期末手当回数（6月）,期末手当回数（12月）
公明党,2003,兵庫県,姫路市,2,90146000.0,685000.0,180292000.0,96,8,8,8
日本共産党,2003,兵庫県,姫路市,2,90146000.0,685000.0,180292000.0,96,8,8,8
民主党,2003,兵庫県,姫路市,1,90146000.0,685000.0,90146000.0,96,8,8,8
無所属,2003,兵庫県,姫路市,30,90146000.0,685000.0,2704380000.0,96,8,8,8
公明党,2011,兵庫県,姫路市,3,45073000.0,685000.0,135219000.0,48,4,4,4
国民民主党,2011,兵庫県,姫路市,1,45073000.0,685000.0,45073000.0,48,4,4,4
日本共産党,2011,兵庫県,姫路市,1,45073000.0,685000.0,45073000.0,48,4,4,4
無所属,2011,兵庫県,姫路市,28,45073000.0,685000.0,1262044000.0,48,4,4,4
自由民主党,2011,兵庫県,姫路市,10,45073000.0,685000.0,450730000.0,48,4,4,4
公明党,2015,兵庫県,姫路市,2,45073000.0,685000.0,90146000.0,48,4,4,4
日本共産党,2015,兵庫県,姫路市,3,45073000.0,685000.0,135219000.0,48,4,4,4
無所属,2015,兵庫県,姫路市,32,45073000.0,685000.0,1442336000.0,48,4,4,4
無所属,2019,兵庫県,姫路市,40,45073000.0,685000.0,1802920000.0,48,4,4,4
公明党,2023,兵庫県,姫路市,1,45073000.0,685000.0,45073000.0,48,4,4,4
市民をつなぐ党,2023,兵庫県,姫路市,1,45073000.0,685000.0,45073000.0,48,4,4,4
無所属,2023,兵庫県,姫路市,37,45073000.0,685000.0,1667701000.0,48,4,4,4
社会民主党,2023,兵庫県,姫路市,1,45073000.0,685000.0,45073000.0,48,4,4,4
公明党,2005,兵庫県,尼崎市,1,39168000.0,640000.0,39168000.0,48,4,4,4
日本共産党,2005,兵庫県,尼崎市,2,39168000.0,640000.0,78336000.0,48,4,4,4
無所属,2005,兵庫県,尼崎市,15,39168000.0,640000.0,587520000.0,48,4,4,4
社会民主党,2005,兵庫県,尼崎市,1,39168000.0,640000.0,39168000.0,48,4,4,4
自由民主党,2005,兵庫県,尼崎市,17,39168000.0,640000.0,665856000.0,48,4,4,4
公明党,2009,兵庫県,尼崎市,1,39168000.0,640000.0,39168000.0,48,4,4,4
日本共産党,2009,兵庫県,尼崎市,2,39168000.0,640000.0,78336000.0,48,4,4,4
無所属,2009,兵庫県,尼崎市,14,39168000.0,640000.0,548352000.0,48,4,4,4
自由民主党,2009,兵庫県,尼崎市,18,39168000.0,640000.0,705024000.0,48,4,4,4
公明党,2013,兵庫県,尼崎市,2,39168000.0,640000.0,78336000.0,48,4,4,4
日本共産党,2013,兵庫県,尼崎市,2,39168000.0,640000.0,78336000.0,48,4,4,4
民進党,2013,兵庫県,尼崎市,1,39168000.0,640000.0,39168000.0,48,4,4,4
無所属,2013,兵庫県,尼崎市,12,39168000.0,640000.0,470016000.0,48,4,4,4
立憲民主党,2013,兵庫県,尼崎市,1,39168000.0,640000.0,39168000.0,48,4,4,4
自由民主党,2013,兵庫県,尼崎市,20,39168000.0,640000.0,783360000.0,48,4,4,4
日本共産党,2017,兵庫県,尼崎市,1,39168000.0,640000.0,39168000.0,48,4,4,4
無所属,2017,兵庫県,尼崎市,29,39168000.0,640000.0,1135872000.0,48,4,4,4
自由民主党,2017,兵庫県,尼崎市,1,39168000.0,640000.0,39168000.0,48,4,4,4
日本共産党,2021,兵庫県,尼崎市,2,13984000.0,640000.0,27968000.0,17,1,2,1
無所属,2021,兵庫県,尼崎市,29,13984000.0,640000.0,405536000.0,17,1,2,1
自由民主党,2022,兵庫県,尼崎市,1,39168000.0,640000.0,39168000.0,48,4,4,4
無所属,2009,兵庫県,神戸市,1,127456500.00000001,930000.0,127456500.00000001,100,8,8,9
無所属,2018,兵庫県,神戸市,1,60822000.00000001,930000.0,60822000.00000001,48,4,4,4
公明党,1999,兵庫県,西宮市,3,45204600.0,687000.0,135613800.0,48,4,4,4
日本共産党,1999,兵庫県,西宮市,3,45204600.0,687000.0,135613800.0,48,4,4,4
無所属,1999,兵庫県,西宮市,28,45204600.0,687000.0,1265728800.0,48,4,4,4
公明党,2003,兵庫県,西宮市,2,17570025.0,687000.0,35140050.0,19,1,2,1
日本共産党,2003,兵庫県,西宮市,2,17570025.0,687000.0,35140050.0,19,1,2,1
無所属,2003,兵庫県,西宮市,25,17570025.0,687000.0,439250625.0,19,1,2,1
無所属,2004,兵庫県,西宮市,1,27634575.0,687000.0,27634575.0,29,3,2,3
公明党,2007,兵庫県,西宮市,2,34590450.0,687000.0,69180900.0,37,3,3,3
日本共産党,2007,兵庫県,西宮市,2,34590450.0,687000.0,69180900.0,37,3,3,3
無所属,2007,兵庫県,西宮市,27,34590450.0,687000.0,933942150.0,37,3,3,3
自由民主党,2007,兵庫県,西宮市,1,34590450.0,687000.0,34590450.0,37,3,3,3
無所属,2010,兵庫県,西宮市,1,10614150.0,687000.0,10614150.0,11,1,1,1
公明党,2011,兵庫県,西宮市,4,45204600.0,687000.0,180818400.0,48,4,4,4
日本共産党,2011,兵庫県,西宮市,2,45204600.0,687000.0,90409200.0,48,4,4,4
無所属,2011,兵庫県,西宮市,24,45204600.0,687000.0,1084910400.0,48,4,4,4
自由民主党,2011,兵庫県,西宮市,1,45204600.0,687000.0,45204600.0,48,4,4,4
公明党,2015,兵庫県,西宮市,2,33903450.0,687000.0,67806900.0,36,3,3,3
日本共産党,2015,兵庫県,西宮市,4,33903450.0,687000.0,135613800.0,36,3,3,3
日本維新の会,2015,兵庫県,西宮市,1,33903450.0,687000.0,33903450.0,36,3,3,3
無所属,2015,兵庫県,西宮市,26,33903450.0,687000.0,881489700.0,36,3,3,3
無所属,2018,兵庫県,西宮市,1,11301150.0,687000.0,11301150.0,12,1,1,1
公明党,2019,兵庫県,西宮市,4,45204600.0,687000.0,180818400.0,48,4,4,4
日本共産党,2019,兵庫県,西宮市,4,45204600.0,687000.0,180818400.0,48,4,4,4
日本維新の会,2019,兵庫県,西宮市,2,45204600.0,687000.0,90409200.0,48,4,4,4
無所属,2019,兵庫県,西宮市,23,45204600.0,687000.0,1039705800.0,48,4,4,4
自由民主党,2019,兵庫県,西宮市,2,45204600.0,687000.0,90409200.0,48,4,4,4
公明党,2023,兵庫県,西宮市,2,45204600.0,687000.0,90409200.0,48,4,4,4
日本共産党,2023,兵庫県,西宮市,2,45204600.0,687000.0,90409200.0,48,4,4,4
日本維新の会,2023,兵庫県,西宮市,1,45204600.0,687000.0,45204600.0,48,4,4,4
無所属,2023,兵庫県,西宮市,24,45204600.0,687000.0,1084910400.0,48,4,4,4
公明党,2011,北海道,函館市,1,33558000.0,510000.0,33558000.0,48,4,4,4
日本共産党,2011,北海道,函館市,2,33558000.0,510000.0,67116000.0,48,4,4,4
無所属,2011,北海道,函館市,19,33558000.0,510000.0,637602000.0,48,4,4,4
