ID,都道府県,市区町村,市区町村名,種別,人口,議員定数,定数条例等の適用年月,議員実数,議長報酬月額,副議長報酬月額,議員報酬月額,期末手当支給率3月,期末手当支給率6月,期末手当支給率12月,期末手当支給率合計,期末手当加算率,備考,議員報酬年額試算,定数分報酬月額,定数分報酬年額試算,人口あたり報酬月額,人口あたり定数分報酬月額,人口あたり定数分報酬年額,市区町村2016,種別2016,人口2016,議員定数2016,定数条例等の適用年月2016,議員実数2016,議長報酬月額2016,副議長報酬月額2016,議員報酬月額2016,期末手当支給率3月2016,期末手当支給率6月2016,期末手当支給率12月2016,期末手当支給率合計2016,期末手当加算率2016,備考2016,議員報酬年額試算2016,定数分報酬月額2016,定数分報酬年額試算2016,人口あたり報酬月額2016,人口あたり定数分報酬月額2016
1,北海道,札幌市,札幌市,政令指定都市,"1,955,457",68,1999年4月,66,"1,040,000","950,000","860,000",0,158,178,335,45,," 14,497,450 "," 58,750,000 "," 990,378,125 ",0.4,30.0,506.5,札幌市中央区,政令指定都市,"1,947,494",68,1999年4月,67,"1,040,000","950,000","860,000",0,150,175,325,45,," 14,372,750 "," 58,750,000 "," 240,204,584 ",0.4,30.2
2,北海道,函館市,函館市,中核市,"258,948",30,2011年5月,30,"630,000","560,000","510,000",0,212.5,232.5,445,20,," 8,843,400 "," 15,470,000 "," 268,249,800 ",2.0,59.7,"1,035.9",函館市,中核市,"265,503",30,2011年5月,30,"630,000","560,000","510,000",0,207.5,222.5,430,20,," 8,751,600 "," 15,470,000 "," 150,177,456 ",1.9,58.3
3,北海道,小樽市,北海道小樽市,一般市,"116,516",25,2015年4月,25,"534,000","482,000","441,000",0,212.5,227.5,440,20,," 7,620,480 "," 11,159,000 "," 192,827,520 ",3.8,95.8,"1,654.9",小樽市,市区,"120,751",25,2015年4月,25,"534,000","482,000","441,000",0,197.5,212.5,410,20,," 7,461,720 "," 11,159,000 "," 126,252,302 ",3.7,92.4
4,北海道,旭川市,旭川市,中核市,"337,392",34,2015年4月,33,"625,000","555,000","515,000",0,207.5,222.5,430,20,," 8,837,400 "," 17,660,000 "," 303,045,600 ",1.5,52.3,898.2,旭川市,中核市,"342,848",34,2015年4月,34,"625,000","555,000","515,000",0,197.5,212.5,410,20,," 8,713,800 "," 17,660,000 "," 147,437,496 ",1.5,51.5
5,北海道,室蘭市,北海道室蘭市,一般市,"84,405",22,2011年4月,21,"480,000","450,000","415,000",0,222.5,222.5,445,15,," 7,103,763 "," 9,230,000 "," 157,994,525 ",4.9,109.4,"1,871.9",室蘭市,市区,"87,180",22,2011年4月,22,"480,000","450,000","415,000",0,207.5,222.5,430,15,," 7,032,175 "," 9,230,000 "," 119,160,205 ",4.8,105.9
6,北海道,釧路市,北海道釧路市,一般市,"170,364",28,2011年4月,27,"600,000","540,000","490,000",0,168,168,335,45,," 8,260,175 "," 13,880,000 "," 233,982,100 ",2.9,81.5,"1,373.4",釧路市,市区,"174,518",28,2011年4月,28,"600,000","540,000","490,000",0,150,175,325,45,," 8,189,125 "," 13,880,000 "," 136,860,752 ",2.8,79.5
7,北海道,帯広市,北海道帯広市,一般市,"166,889",29,2015年4月,29,"580,000","510,000","470,000",0,212.5,232.5,445,20,," 8,149,800 "," 13,780,000 "," 238,945,200 ",2.8,82.6,"1,431.8",帯広市,市区,"168,096",29,2015年4月,29,"580,000","510,000","470,000",0,202.5,227.5,430,20,," 8,065,200 "," 13,780,000 "," 138,398,832 ",2.8,82.0
8,北海道,北見市,北海道北見市,一般市,"117,806",28,2014年3月,28,"500,000","455,000","430,000",0,212.5,232.5,445,20,," 7,456,200 "," 12,135,000 "," 210,420,900 ",3.7,103.0,"1,786.2",北見市,市区,"119,978",28,2014年3月,28,"500,000","455,000","430,000",0,202.5,227.5,430,20,," 7,378,800 "," 12,135,000 "," 126,620,208 ",3.6,101.1
9,北海道,夕張市,北海道夕張市,一般市,"8,087",9,2007年4月,9,"230,000","200,000","180,000",0,112.5,132.5,245,0,," 2,601,000 "," 1,690,000 "," 24,420,500 ",22.3,209.0,"3,019.7",夕張市,市区,"8,685",9,2007年4月,9,"230,000","200,000","180,000",0,112.5,132.5,245,0,," 2,601,000 "," 1,690,000 "," 37,584,450 ",20.7,194.6
10,北海道,岩見沢市,北海道岩見沢市,一般市,"81,778",22,2015年4月,21,"470,000","415,000","384,000",0,222.5,222.5,445,15,," 6,573,120 "," 8,565,000 "," 146,611,388 ",4.7,104.7,"1,792.8",岩見沢市,市区,"83,942",22,2015年4月,21,"470,000","415,000","384,000",0,207.5,222.5,430,15,," 6,506,880 "," 8,565,000 "," 110,259,082 ",4.6,102.0
