election_name,notice_date,election_day,seats,candidate_count,registered_voters,note
千葉県匝瑳市長選挙,2026-02-01 00:00:00,2026-02-08 00:00:00,1,2,28111.0,任期満了
埼玉県ときがわ町議会議員選挙,2026-02-03 00:00:00,2026-02-08 00:00:00,11,17,8833.0,任期満了
埼玉県ときがわ町長選挙,2026-02-03 00:00:00,2026-02-08 00:00:00,1,2,8833.0,任期満了
山形県大石田町議会議員補欠選挙,2026-02-03 00:00:00,2026-02-08 00:00:00,2,2,5120.0,失職/逝去/有権者数については選挙人名簿登録者数が表示されています
山形県西川町議会議員補欠選挙,2026-02-03 00:00:00,2026-02-08 00:00:00,2,1,3930.0,辞職/逝去/定員割れ/有権者数については選挙人名簿登録者数が表示されています
埼玉県川口市議会議員補欠選挙,2026-01-25 00:00:00,2026-02-01 00:00:00,3,13,475521.0,辞職/逝去
埼玉県川口市長選挙,2026-01-25 00:00:00,2026-02-01 00:00:00,1,6,475521.0,任期満了
宮崎県美郷町議会議員選挙,2026-01-27 00:00:00,2026-02-01 00:00:00,11,12,3912.0,任期満了
宮崎県美郷町長選挙,2026-01-27 00:00:00,2026-02-01 00:00:00,1,2,3912.0,任期満了
秋田県潟上市議会議員選挙,2026-01-25 00:00:00,2026-02-01 00:00:00,18,24,26843.0,任期満了
茨城県高萩市長選挙,2026-01-25 00:00:00,2026-02-01 00:00:00,1,2,21996.0,任期満了
鹿児島県志布志市議会議員選挙,2026-01-25 00:00:00,2026-02-01 00:00:00,16,18,23051.0,任期満了
鹿児島県志布志市長選挙,2026-01-25 00:00:00,2026-02-01 00:00:00,1,4,23051.0,任期満了
佐賀県嬉野市議会議員選挙,2026-01-18 00:00:00,2026-01-25 00:00:00,16,18,20179.0,任期満了
佐賀県嬉野市長選挙,2026-01-18 00:00:00,2026-01-25 00:00:00,1,2,20179.0,任期満了
北海道北斗市長選挙,2026-01-18 00:00:00,2026-01-25 00:00:00,1,2,36072.0,任期満了
千葉県多古町長選挙,2026-01-20 00:00:00,2026-01-25 00:00:00,1,4,11034.0,任期満了
和歌山県上富田町長選挙,2026-01-20 00:00:00,2026-01-25 00:00:00,1,2,12903.0,任期満了
埼玉県本庄市議会議員選挙,2026-01-18 00:00:00,2026-01-25 00:00:00,21,22,62617.0,任期満了
埼玉県本庄市長選挙,2026-01-18 00:00:00,2026-01-25 00:00:00,1,1,63382.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
埼玉県深谷市長選挙,2026-01-18 00:00:00,2026-01-25 00:00:00,1,2,116379.0,任期満了
埼玉県神川町議会議員補欠選挙,2026-01-20 00:00:00,2026-01-25 00:00:00,2,4,10474.0,逝去
大分県玖珠町長選挙,2026-01-20 00:00:00,2026-01-25 00:00:00,1,1,11692.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
大阪府議会議員補欠選挙,2026-01-16 00:00:00,2026-01-25 00:00:00,1,1,67588.0,辞職/貝塚市選挙区/有権者数については選挙人名簿登録者数が表示されています
大阪府貝塚市長選挙,2026-01-18 00:00:00,2026-01-25 00:00:00,1,4,66953.0,任期満了
奈良県曽爾村議会議員補欠選挙,2026-01-20 00:00:00,2026-01-25 00:00:00,1,1,1101.0,逝去/有権者数については選挙人名簿登録者数が表示されています
奈良県曽爾村長選挙,2026-01-20 00:00:00,2026-01-25 00:00:00,1,1,1101.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
宮城県美里町議会議員選挙,2026-01-20 00:00:00,2026-01-25 00:00:00,13,13,19625.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
宮城県美里町長選挙,2026-01-20 00:00:00,2026-01-25 00:00:00,1,2,19460.0,任期満了
宮崎県宮崎市議会議員補欠選挙,2026-01-18 00:00:00,2026-01-25 00:00:00,1,5,324217.0,その他
宮崎県宮崎市長選挙,2026-01-18 00:00:00,2026-01-25 00:00:00,1,2,324217.0,任期満了
宮崎県都城市議会議員選挙,2026-01-18 00:00:00,2026-01-25 00:00:00,29,33,131362.0,任期満了
岩手県洋野町議会議員補欠選挙,2026-01-20 00:00:00,2026-01-25 00:00:00,1,1,12945.0,逝去/有権者数については選挙人名簿登録者数が表示されています
岩手県洋野町長選挙,2026-01-20 00:00:00,2026-01-25 00:00:00,1,1,12945.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
岩手県紫波町長選挙,2026-01-20 00:00:00,2026-01-25 00:00:00,1,1,27632.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
岩手県花巻市長選挙,2026-01-18 00:00:00,2026-01-25 00:00:00,1,3,76402.0,任期満了
沖縄県八重瀬町議会議員補欠選挙,2026-01-20 00:00:00,2026-01-25 00:00:00,3,4,25384.0,逝去
